GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AHY2E001,AHY2E002,AHY2E003,AHY2E004,AHY2E005,AHY2E006,AHY2E007,AHY2E008,AHY2E009,AHY2E010,NAME_M,AHY2M001,AHY2M002,AHY2M003,AHY2M004,AHY2M005,AHY2M006,AHY2M007,AHY2M008,AHY2M009,AHY2M010
"G4803550003001","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003001",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003001",,,"Census Tract 30.01, Nueces County, Texas",6024,4790,330,99,381,0,110,314,71,243,"Census Tract 30.01, Nueces County, Texas",671,616,177,119,341,19,109,274,73,273
"G4803550003002","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003002",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003002",,,"Census Tract 30.02, Nueces County, Texas",4830,4141,81,62,371,0,32,143,7,136,"Census Tract 30.02, Nueces County, Texas",346,374,60,73,172,13,32,89,12,88
"G4803550003101","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003101",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003101",,,"Census Tract 31.01, Nueces County, Texas",5615,4991,113,132,16,0,238,125,0,125,"Census Tract 31.01, Nueces County, Texas",402,456,133,97,25,19,179,151,19,151
"G4803550003102","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003102",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003102",,,"Census Tract 31.02, Nueces County, Texas",5263,4432,296,30,267,0,99,139,31,108,"Census Tract 31.02, Nueces County, Texas",536,503,350,31,225,19,94,94,39,84
"G4803550003202","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003202",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003202",,,"Census Tract 32.02, Nueces County, Texas",6274,5319,228,44,310,0,255,118,13,105,"Census Tract 32.02, Nueces County, Texas",372,452,128,68,82,19,234,77,20,78
"G4803550003203","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003203",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003203",,,"Census Tract 32.03, Nueces County, Texas",6194,5560,184,0,208,37,114,91,0,91,"Census Tract 32.03, Nueces County, Texas",682,723,167,19,140,60,86,98,19,98
"G4803550003204","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003204",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003204",,,"Census Tract 32.04, Nueces County, Texas",4757,4305,7,38,27,0,261,119,12,107,"Census Tract 32.04, Nueces County, Texas",334,350,12,53,32,13,216,94,19,92
"G4803550003303","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003303",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003303",,,"Census Tract 33.03, Nueces County, Texas",1230,1144,81,0,0,0,5,0,0,0,"Census Tract 33.03, Nueces County, Texas",204,214,99,13,13,13,12,13,13,13
"G4803550003304","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003304",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003304",,,"Census Tract 33.04, Nueces County, Texas",6408,5336,320,16,288,0,232,216,106,110,"Census Tract 33.04, Nueces County, Texas",484,501,243,24,171,19,155,130,104,75
"G4803550003305","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003305",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003305",,,"Census Tract 33.05, Nueces County, Texas",4759,4029,355,45,44,13,136,137,28,109,"Census Tract 33.05, Nueces County, Texas",388,402,200,52,39,23,108,93,45,80
"G4803550003306","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003306",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003306",,,"Census Tract 33.06, Nueces County, Texas",4834,3995,252,11,427,0,133,16,16,0,"Census Tract 33.06, Nueces County, Texas",374,446,139,18,212,13,138,27,27,13
"G4803550003401","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003401",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003401",,,"Census Tract 34.01, Nueces County, Texas",4488,3886,200,55,71,0,93,183,90,93,"Census Tract 34.01, Nueces County, Texas",315,360,132,72,102,13,64,113,73,81
"G4803550003402","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003402",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003402",,,"Census Tract 34.02, Nueces County, Texas",6545,6155,101,0,60,0,90,139,96,43,"Census Tract 34.02, Nueces County, Texas",592,666,132,19,91,19,99,110,98,62
"G4803550003500","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003500",,,"Census Tract 35, Nueces County, Texas",2220,2133,24,0,0,12,51,0,0,0,"Census Tract 35, Nueces County, Texas",234,238,22,13,13,22,71,13,13,13
"G4803550003601","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003601",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003601",,,"Census Tract 36.01, Nueces County, Texas",6325,5448,81,0,327,0,423,46,23,23,"Census Tract 36.01, Nueces County, Texas",566,860,117,19,319,19,465,51,35,39
"G4803550003602","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003602",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003602",,,"Census Tract 36.02, Nueces County, Texas",6186,5803,126,30,3,49,72,103,57,46,"Census Tract 36.02, Nueces County, Texas",675,692,202,48,6,74,62,96,75,70
"G4803550003603","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003603",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003603",,,"Census Tract 36.03, Nueces County, Texas",4452,4146,34,0,45,0,202,25,9,16,"Census Tract 36.03, Nueces County, Texas",421,424,44,13,72,13,149,31,14,28
"G4803550003700","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"003700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355003700",,,"Census Tract 37, Nueces County, Texas",3274,3011,4,0,0,0,204,55,43,12,"Census Tract 37, Nueces County, Texas",252,276,7,13,13,13,157,44,41,16
"G4803550005102","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005102",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005102",,,"Census Tract 51.02, Nueces County, Texas",3851,3661,25,47,75,0,0,43,0,43,"Census Tract 51.02, Nueces County, Texas",103,197,38,75,118,13,13,47,13,47
"G4803550005404","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005404",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005404",,,"Census Tract 54.04, Nueces County, Texas",3592,3353,59,0,69,0,86,25,0,25,"Census Tract 54.04, Nueces County, Texas",359,355,78,13,75,13,75,29,13,29
"G4803550005406","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005406",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005406",,,"Census Tract 54.06, Nueces County, Texas",3436,3056,154,11,95,0,64,56,0,56,"Census Tract 54.06, Nueces County, Texas",336,370,174,13,75,13,57,46,13,46
"G4803550005407","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005407",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005407",,,"Census Tract 54.07, Nueces County, Texas",2804,2549,43,0,28,0,135,49,4,45,"Census Tract 54.07, Nueces County, Texas",338,368,38,13,44,13,85,46,7,45
"G4803550005408","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005408",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005408",,,"Census Tract 54.08, Nueces County, Texas",4546,4098,210,0,16,0,115,107,0,107,"Census Tract 54.08, Nueces County, Texas",468,467,107,13,27,13,81,114,13,114
"G4803550005409","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005409",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005409",,,"Census Tract 54.09, Nueces County, Texas",3825,3113,245,0,181,26,210,50,17,33,"Census Tract 54.09, Nueces County, Texas",263,301,155,13,137,37,191,52,24,46
"G4803550005410","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005410",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005410",,,"Census Tract 54.10, Nueces County, Texas",3479,3164,32,39,85,0,116,43,38,5,"Census Tract 54.10, Nueces County, Texas",338,349,41,61,117,13,90,38,37,10
"G4803550005411","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005411",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005411",,,"Census Tract 54.11, Nueces County, Texas",3917,3435,266,11,134,0,39,32,0,32,"Census Tract 54.11, Nueces County, Texas",301,361,144,16,98,13,43,37,13,37
"G4803550005412","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005412",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005412",,,"Census Tract 54.12, Nueces County, Texas",5491,4314,307,26,408,0,185,251,73,178,"Census Tract 54.12, Nueces County, Texas",367,421,225,42,147,19,106,143,79,115
"G4803550005413","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005413",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005413",,,"Census Tract 54.13, Nueces County, Texas",2850,2255,190,0,182,0,91,132,44,88,"Census Tract 54.13, Nueces County, Texas",325,333,200,13,128,13,88,111,36,82
"G4803550005414","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005414",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005414",,,"Census Tract 54.14, Nueces County, Texas",2607,2199,102,0,218,22,12,54,0,54,"Census Tract 54.14, Nueces County, Texas",182,183,93,13,146,29,14,54,13,54
"G4803550005415","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005415",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005415",,,"Census Tract 54.15, Nueces County, Texas",6117,4892,238,66,481,10,300,130,41,89,"Census Tract 54.15, Nueces County, Texas",483,494,162,75,151,18,171,84,47,66
"G4803550005416","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005416",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005416",,,"Census Tract 54.16, Nueces County, Texas",3562,3298,29,0,219,0,8,8,8,0,"Census Tract 54.16, Nueces County, Texas",200,180,44,13,67,13,14,15,15,13
"G4803550005417","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005417",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005417",,,"Census Tract 54.17, Nueces County, Texas",5225,4227,556,11,270,0,92,69,19,50,"Census Tract 54.17, Nueces County, Texas",355,322,376,18,112,19,64,50,29,50
"G4803550005601","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005601",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005601",,,"Census Tract 56.01, Nueces County, Texas",6366,5940,142,18,0,0,128,138,93,45,"Census Tract 56.01, Nueces County, Texas",541,619,196,30,19,19,131,156,144,61
"G4803550005602","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005602",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005602",,,"Census Tract 56.02, Nueces County, Texas",6267,5913,0,0,4,0,276,74,58,16,"Census Tract 56.02, Nueces County, Texas",746,796,19,19,7,19,198,96,93,26
