GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,NAME_M,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010
"G4800070950102","2018-2022","TX",,,"Texas","48","Aransas County","007",,,"950102",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48007950102",,,"48007950102","Census Tract 9501.02, Aransas County, Texas",2963,2271,65,56,198,0,42,331,106,225,"Census Tract 9501.02, Aransas County, Texas",453,350,100,66,280,15,57,283,115,267
"G4800070950103","2018-2022","TX",,,"Texas","48","Aransas County","007",,,"950103",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48007950103",,,"48007950103","Census Tract 9501.03, Aransas County, Texas",1245,1031,0,0,214,0,0,0,0,0,"Census Tract 9501.03, Aransas County, Texas",364,276,15,15,235,15,15,15,15,15
"G4800070950200","2018-2022","TX",,,"Texas","48","Aransas County","007",,,"950200",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48007950200",,,"48007950200","Census Tract 9502, Aransas County, Texas",1155,1065,0,0,0,0,0,90,8,82,"Census Tract 9502, Aransas County, Texas",298,287,15,15,15,15,15,73,26,85
"G4800070950301","2018-2022","TX",,,"Texas","48","Aransas County","007",,,"950301",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48007950301",,,"48007950301","Census Tract 9503.01, Aransas County, Texas",3323,2843,11,0,0,0,0,469,304,165,"Census Tract 9503.01, Aransas County, Texas",665,712,17,15,15,15,15,303,263,158
"G4800070950302","2018-2022","TX",,,"Texas","48","Aransas County","007",,,"950302",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48007950302",,,"48007950302","Census Tract 9503.02, Aransas County, Texas",3285,3087,21,11,0,0,155,11,0,11,"Census Tract 9503.02, Aransas County, Texas",522,473,49,18,15,15,172,30,15,30
"G4800070950400","2018-2022","TX",,,"Texas","48","Aransas County","007",,,"950400",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48007950400",,,"48007950400","Census Tract 9504, Aransas County, Texas",3181,2338,104,88,0,0,224,427,170,257,"Census Tract 9504, Aransas County, Texas",485,413,148,108,15,15,179,242,219,214
"G4800070950501","2018-2022","TX",,,"Texas","48","Aransas County","007",,,"950501",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48007950501",,,"48007950501","Census Tract 9505.01, Aransas County, Texas",2244,1954,0,0,0,0,75,215,215,0,"Census Tract 9505.01, Aransas County, Texas",501,458,15,15,15,15,112,255,255,15
"G4800070950502","2018-2022","TX",,,"Texas","48","Aransas County","007",,,"950502",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48007950502",,,"48007950502","Census Tract 9505.02, Aransas County, Texas",2400,1745,1,126,0,0,185,343,271,72,"Census Tract 9505.02, Aransas County, Texas",411,444,3,195,15,15,179,220,209,85
"G4800070950503","2018-2022","TX",,,"Texas","48","Aransas County","007",,,"950503",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48007950503",,,"48007950503","Census Tract 9505.03, Aransas County, Texas",2402,1438,0,0,0,0,48,916,888,28,"Census Tract 9505.03, Aransas County, Texas",603,382,15,15,15,15,134,616,614,44
"G4800070990000","2018-2022","TX",,,"Texas","48","Aransas County","007",,,"990000",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48007990000",,,"48007990000","Census Tract 9900, Aransas County, Texas",0,0,0,0,0,0,0,0,0,0,"Census Tract 9900, Aransas County, Texas",15,15,15,15,15,15,15,15,15,15
"G4800090020100","2018-2022","TX",,,"Texas","48","Archer County","009",,,"020100",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48009020100",,,"48009020100","Census Tract 201, Archer County, Texas",2911,2748,9,11,16,0,33,94,47,47,"Census Tract 201, Archer County, Texas",254,242,6,17,21,15,29,49,33,36
"G4800090020200","2018-2022","TX",,,"Texas","48","Archer County","009",,,"020200",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48009020200",,,"48009020200","Census Tract 202, Archer County, Texas",2427,2263,0,37,0,0,10,117,33,84,"Census Tract 202, Archer County, Texas",260,258,15,28,15,15,15,66,26,49
"G4800090020300","2018-2022","TX",,,"Texas","48","Archer County","009",,,"020300",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48009020300",,,"48009020300","Census Tract 203, Archer County, Texas",3311,2945,41,38,0,0,48,239,72,167,"Census Tract 203, Archer County, Texas",253,233,45,27,15,15,29,83,56,65
"G4800110950100","2018-2022","TX",,,"Texas","48","Armstrong County","011",,,"950100",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48011950100",,,"48011950100","Census Tract 9501, Armstrong County, Texas",1912,1745,16,21,2,0,33,95,65,30,"Census Tract 9501, Armstrong County, Texas",145,143,31,19,3,15,37,53,50,18
"G4800130960101","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960101",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960101",,,"48013960101","Census Tract 9601.01, Atascosa County, Texas",3519,2297,61,0,0,0,0,1161,969,192,"Census Tract 9601.01, Atascosa County, Texas",996,648,105,15,15,15,15,728,736,101
"G4800130960102","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960102",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960102",,,"48013960102","Census Tract 9601.02, Atascosa County, Texas",3919,2375,35,0,20,0,332,1157,943,214,"Census Tract 9601.02, Atascosa County, Texas",784,785,58,15,33,15,233,500,509,176
