program_label,program,entities,code,number_reported,rent_per_month,hh_income,tpoverty,treatment,year,post,poverty_indicator
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018129,48113018129,14,630,17025,2,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018130,48113018130,167,424,16047,22,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018132,48113018132,32,528,16457,16,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018133,48113018133,15,486,20110,4,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018134,48113018134,30,491,20243,7,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018135,48113018135,52,468,18023,1,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018137,48113018137,20,473,13072,6,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018138,48113018138,72,346,13058,15,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018139,48113018139,53,494,19824,16,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018140,48113018140,22,479,20038,8,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018141,48113018141,151,341,12959,19,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018142,48113018142,26,636,19878,6,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018203,48113018203,49,495,19284,18,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018204,48113018204,18,387,12938,31,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018205,48113018205,23,352,10512,27,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018300,48113018300,41,368,13370,14,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018401,48113018401,21,450,14785,31,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018402,48113018402,16,416,13582,15,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018501,48113018501,18,521,16790,26,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018503,48113018503,183,283,10038,37,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018505,48113018505,121,343,11388,25,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018506,48113018506,20,392,14438,27,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018700,48113018700,44,268,11085,26,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018801,48113018801,30,439,16376,21,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018802,48113018802,60,318,12910,40,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018900,48113018900,51,424,13484,19,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019004,48113019004,57,379,13268,9,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019013,48113019013,201,286,10973,49,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019014,48113019014,66,520,17490,30,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019016,48113019016,16,355,11437,38,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019018,48113019018,91,301,9600,22,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019019,48113019019,79,438,12978,28,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019020,48113019020,11,643,19107,8,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019021,48113019021,34,491,15265,18,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019024,48113019024,42,489,16525,14,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019025,48113019025,24,494,14765,2,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019026,48113019026,28,502,16607,10,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019027,48113019027,80,408,13132,9,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019028,48113019028,33,645,19887,10,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019029,48113019029,69,536,17475,15,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019031,48113019031,14,584,17327,3,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019032,48113019032,16,347,12724,25,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019033,48113019033,29,350,12495,36,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019034,48113019034,113,370,11234,23,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019035,48113019035,51,387,12966,30,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019039,48113019039,49,414,15708,18,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019040,48113019040,104,363,12087,7,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019041,48113019041,15,489,17557,3,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019100,48113019100,45,369,13220,10,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019202,48113019202,17,276,10852,27,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019204,48113019204,19,343,13022,17,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019206,48113019206,11,737,21136,39,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019208,48113019208,31,363,12365,35,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019211,48113019211,14,502,15002,13,1,2015,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019213,48113019213,265,315,10180,52,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113020200,48113020200,130,320,10586,40,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113020300,48113020300,104,338,10900,40,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113020500,48113020500,365,255,10693,58,1,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201100000,48201100000,51,120,4954,19,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201210800,48201210800,11,375,11197,42,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201210900,48201210900,19,404,12604,40,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211000,48201211000,14,209,7981,32,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211100,48201211100,37,336,12073,55,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211200,48201211200,27,223,8183,52,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211300,48201211300,102,295,11745,48,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211400,48201211400,30,295,11226,36,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211600,48201211600,61,172,7173,37,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211700,48201211700,44,257,10128,43,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201212500,48201212500,23,429,16606,26,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201220400,48201220400,35,356,13203,34,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201220500,48201220500,106,300,12401,32,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201220600,48201220600,20,294,11143,27,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201220700,48201220700,103,354,13169,37,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201220800,48201220800,44,310,10217,49,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201220900,48201220900,28,337,11624,27,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201221000,48201221000,75,271,9792,36,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201221500,48201221500,136,285,10797,46,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201222503,48201222503,28,364,12526,44,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201222600,48201222600,113,292,11495,61,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201222700,48201222700,407,380,14286,50,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201222900,48201222900,11,376,14372,30,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201223002,48201223002,12,531,16117,42,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201230200,48201230200,146,299,11851,30,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201230300,48201230300,16,409,15624,51,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201230400,48201230400,32,241,9549,36,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201230600,48201230600,22,389,12182,33,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201230700,48201230700,124,271,11012,35,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201230800,48201230800,14,456,15656,17,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201230900,48201230900,55,336,12418,30,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201231000,48201231000,25,383,14029,24,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201231100,48201231100,77,341,12630,30,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201231200,48201231200,178,336,13169,38,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201231300,48201231300,166,269,10750,31,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201231400,48201231400,30,557,18017,14,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201231500,48201231500,41,328,11224,23,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201231600,48201231600,27,472,15754,16,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201231900,48201231900,74,440,14051,26,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201232000,48201232000,24,378,12889,19,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201232100,48201232100,26,410,13281,32,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201232301,48201232301,62,450,15811,34,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201232302,48201232302,57,479,16262,15,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201232402,48201232402,103,281,11053,26,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201232403,48201232403,24,415,13499,21,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201232500,48201232500,94,339,13899,22,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201232701,48201232701,50,307,11900,32,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201232702,48201232702,81,393,15016,35,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201232800,48201232800,14,328,10232,17,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201232900,48201232900,89,333,11015,16,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201233001,48201233001,51,338,13831,26,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201233400,48201233400,43,304,11991,26,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201233600,48201233600,12,372,15132,39,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201240400,48201240400,51,417,15010,30,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201240501,48201240501,71,383,14286,35,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201240502,48201240502,14,341,12377,39,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201240701,48201240701,189,479,17375,8,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201240702,48201240702,154,519,18150,18,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201240802,48201240802,46,483,19182,22,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201240901,48201240901,68,529,17791,8,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201240902,48201240902,124,533,18194,13,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201241000,48201241000,40,549,19312,11,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201241101,48201241101,14,528,18854,11,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201241102,48201241102,67,513,17057,17,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201241103,48201241103,80,331,12850,11,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201241200,48201241200,42,468,16218,10,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201241400,48201241400,13,447,15445,3,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201241500,48201241500,302,343,13834,24,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201250100,48201250100,24,646,21779,12,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201250200,48201250200,91,400,15591,17,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201250301,48201250301,35,471,16798,10,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201250302,48201250302,13,646,25576,3,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201250401,48201250401,12,641,17631,3,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201250402,48201250402,13,684,23081,2,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201250600,48201250600,18,332,11800,29,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201250701,48201250701,16,600,20029,13,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201251700,48201251700,19,233,9759,11,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201251902,48201251902,15,250,11115,7,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201252301,48201252301,172,426,15829,18,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201252302,48201252302,23,491,18996,11,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201252800,48201252800,28,291,10990,24,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201253000,48201253000,20,362,13371,10,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201253100,48201253100,24,446,12713,6,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201253200,48201253200,251,296,11493,26,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201253500,48201253500,74,307,11415,16,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201253600,48201253600,48,299,11488,28,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201253700,48201253700,30,411,16207,20,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201253800,48201253800,28,371,12685,26,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201253900,48201253900,29,255,9618,18,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201254000,48201254000,57,336,13533,21,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201254100,48201254100,42,332,14001,24,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201254300,48201254300,37,262,9365,28,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201254600,48201254600,11,373,12987,28,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201254700,48201254700,18,308,11770,6,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201310100,48201310100,28,182,7335,46,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201310800,48201310800,29,320,12456,34,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201310900,48201310900,26,332,11604,34,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201311200,48201311200,44,172,7288,37,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201311500,48201311500,11,265,10423,22,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201311600,48201311600,43,274,9945,38,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201311700,48201311700,56,395,12966,34,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201312200,48201312200,37,248,9209,60,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201312300,48201312300,44,278,10994,48,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201312400,48201312400,29,303,10821,30,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201312600,48201312600,12,363,8822,10,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201312700,48201312700,25,254,9031,25,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201312800,48201312800,26,326,11537,60,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201312900,48201312900,65,332,12922,35,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201313000,48201313000,69,242,8880,19,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201313200,48201313200,67,261,9744,17,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201313300,48201313300,25,452,15345,31,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201313400,48201313400,50,274,10940,29,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201313500,48201313500,68,310,12026,38,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201313600,48201313600,127,285,10684,46,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201313700,48201313700,24,373,14220,16,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201313800,48201313800,149,332,13280,40,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201314300,48201314300,154,309,12609,26,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201320602,48201320602,80,330,12743,28,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201321100,48201321100,20,307,10229,11,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201321200,48201321200,70,410,15497,45,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201321500,48201321500,19,385,13464,44,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201321600,48201321600,21,271,10978,20,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201322000,48201322000,22,219,8787,46,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201322200,48201322200,16,250,9290,12,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201322700,48201322700,52,237,9594,19,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201322900,48201322900,16,223,9415,21,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201323000,48201323000,70,306,12678,45,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201323100,48201323100,45,288,12175,43,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201323200,48201323200,33,347,14394,19,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201323300,48201323300,104,308,12034,30,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201323400,48201323400,17,274,10798,33,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201323500,48201323500,171,330,13680,45,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201323600,48201323600,147,331,12818,13,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201323802,48201323802,24,401,15363,24,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201323900,48201323900,97,334,14053,33,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201330100,48201330100,71,462,15968,31,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201330200,48201330200,64,458,16568,34,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201330301,48201330301,22,596,18977,12,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201330302,48201330302,79,419,17284,18,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201330303,48201330303,37,281,10242,17,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201330400,48201330400,64,418,16793,22,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201330500,48201330500,40,489,18094,31,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201330600,48201330600,61,475,15505,20,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201330700,48201330700,82,431,15653,23,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201330800,48201330800,175,412,16652,13,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201330900,48201330900,44,569,18621,14,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201331100,48201331100,146,377,14242,27,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201331200,48201331200,185,447,15638,35,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201331300,48201331300,99,455,16827,32,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201331400,48201331400,191,303,11690,60,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201331500,48201331500,104,438,15699,15,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201331601,48201331601,120,443,15202,15,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201331602,48201331602,69,238,9165,31,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201331700,48201331700,50,509,16456,43,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201331800,48201331800,170,299,12018,32,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201331900,48201331900,69,331,12457,23,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201332000,48201332000,78,340,13181,39,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201332100,48201332100,11,422,15560,41,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201332200,48201332200,26,387,13394,30,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201332300,48201332300,36,357,13109,29,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201332400,48201332400,43,413,14338,26,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201332500,48201332500,33,380,13011,17,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201332600,48201332600,41,353,12835,34,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201333100,48201333100,31,307,10512,34,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201333201,48201333201,48,223,8694,25,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201333202,48201333202,45,276,11978,33,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201333300,48201333300,99,331,13239,31,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201333500,48201333500,18,202,7818,33,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201333800,48201333800,24,302,12574,27,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201333902,48201333902,39,308,13158,14,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201334001,48201334001,123,323,12745,23,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201334100,48201334100,127,450,15965,26,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201340100,48201340100,116,348,14517,20,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201341000,48201341000,40,326,11653,10,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201341201,48201341201,73,325,12779,14,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201342300,48201342300,51,330,13049,19,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201342400,48201342400,16,279,11983,16,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201342900,48201342900,19,323,12353,7,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201343000,48201343000,54,351,13330,13,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201343100,48201343100,12,389,15625,8,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201343301,48201343301,11,256,9199,9,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201350100,48201350100,25,304,12480,8,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201350200,48201350200,15,547,18464,7,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201350300,48201350300,23,422,17261,7,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201350400,48201350400,71,335,14211,20,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201350601,48201350601,18,317,12333,2,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201410100,48201410100,14,249,9806,25,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201410702,48201410702,291,155,6657,23,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201410800,48201410800,12,351,13273,20,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201420100,48201420100,105,314,12502,35,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201420500,48201420500,55,253,9591,40,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201421101,48201421101,17,215,9339,47,0,2015,0,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201421403,48201421403,16,334,12453,29,0,2015,0,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201421500,48201421500,14,322,13541,30,0,2015,0,1
