program_label,program,entities,code,number_reported,rent_per_month,hh_income,tpoverty,treatment,year,post,poverty_indicator
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016413,48113016413,22,627,22402,9,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016502,48113016502,42,625,21854,21,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016509,48113016509,36,668,23415,6,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016510,48113016510,127,619,22965,9,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016511,48113016511,66,634,25460,17,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016514,48113016514,80,707,25560,6,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016516,48113016516,91,410,14325,20,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016517,48113016517,59,506,17991,16,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016518,48113016518,124,368,14224,15,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016520,48113016520,75,481,16218,18,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016521,48113016521,58,601,20121,13,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016522,48113016522,30,638,23038,19,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016605,48113016605,497,456,16687,31,1,2022,1,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016606,48113016606,66,608,20779,11,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016607,48113016607,236,360,12978,34,1,2022,1,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016610,48113016610,108,480,17617,16,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016611,48113016611,49,597,20739,4,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016612,48113016612,42,735,23746,9,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016615,48113016615,78,716,26570,6,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016616,48113016616,93,622,23028,10,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016618,48113016618,26,571,20233,5,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016619,48113016619,104,449,17970,16,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016620,48113016620,38,675,21488,16,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016621,48113016621,44,718,23650,15,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016622,48113016622,94,698,21780,21,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016623,48113016623,50,948,29591,9,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016624,48113016624,66,453,17640,3,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016625,48113016625,80,707,26032,10,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016626,48113016626,101,597,22015,18,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016701,48113016701,71,660,19952,17,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016703,48113016703,204,518,19700,18,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016704,48113016704,82,620,20447,26,1,2022,1,0
