code,year,number_reported,tpoverty,poverty_indicator,Total,White_alone,Black_or_African_American_alone,Asian_alone,Some_other_race_alone,Two_or_more_races,Two_races_including_some_other_race,Two_races_excluding_some_other_and_three_plus
48113011702,2018-2022,79.8,34.8,1,5743,2581,397,19,928,1769,1700,69
48113011800,2013-2017,219.6,41.4,1,10173,7204,2504,16,302,129,129,0
48113011900,2013-2017,88.6,26.2,0,9902,6354,3189,14,343,2,0,2
48113012000,2013-2017,354.2,23.2,0,8433,5550,2669,0,94,60,0,60
48113012000,2018-2022,293.2,25.4,0,10373,3672,3367,105,749,2480,2471,9
48113012100,2013-2017,273.6,26.0,0,6327,3184,2732,143,226,0,0,0
48113012204,2013-2017,108.4,22.4,0,7091,4512,1528,0,136,909,110,799
48113012206,2013-2017,73.6,15.6,0,4968,2499,2108,27,284,43,0,43
48113012206,2018-2022,27.0,19.0,0,5607,1737,2573,80,288,896,775,121
48113012207,2013-2017,111.4,27.0,0,7587,3553,3489,173,215,100,0,100
48113012207,2018-2022,92.6,22.8,0,7224,1777,2860,228,376,1968,1913,55
48113012208,2013-2017,213.2,46.0,1,2853,1158,926,0,757,12,6,6
48113012208,2018-2022,192.2,37.4,1,2611,933,983,0,67,593,588,5
48113012209,2013-2017,15.0,25.0,0,3194,1893,677,76,487,55,0,55
48113012210,2013-2017,81.2,37.8,1,4096,1531,1964,32,502,67,0,67
48113012210,2018-2022,78.0,27.4,0,4197,1407,1841,70,87,782,645,137
48113012211,2013-2017,98.6,26.8,0,4363,1788,1789,14,680,92,6,86
48113012211,2018-2022,68.2,21.4,0,4435,1586,1518,208,122,1001,970,31
48113012301,2013-2017,25.0,25.0,0,4866,3488,446,0,866,66,49,17
48113012301,2018-2022,16.0,20.0,0,5073,2471,953,50,28,1571,1454,117
48113012302,2013-2017,437.4,44.6,1,8382,3377,2551,150,2099,205,35,170
48113012302,2018-2022,382.8,34.4,1,8814,3270,3530,85,315,1598,1428,170
48113012400,2013-2017,18.0,11.5,0,5627,4261,404,0,855,97,59,38
48113012500,2013-2017,20.333333333333332,19.333333333333332,0,8154,5691,406,142,1520,351,285,66
48113012601,2013-2017,27.0,24.0,0,6839,2472,1071,802,2331,163,24,139
48113012601,2018-2022,11.0,14.0,0,5872,1895,923,316,777,1892,1859,33
48113012604,2013-2017,63.8,24.4,0,7061,3999,1917,171,660,273,92,181
48113012604,2018-2022,41.4,23.2,0,6533,2700,2505,0,150,1158,1100,58
48113012701,2013-2017,30.2,28.0,0,6604,3542,411,193,2247,199,58,141
48113012701,2018-2022,46.0,30.333333333333332,1,5327,2709,276,218,575,1526,1489,37
48113012800,2013-2017,14.2,10.4,0,7481,6845,225,49,172,164,99,65
48113012900,2013-2017,18.0,8.0,0,4679,4042,435,46,67,72,0,72
48113013007,2013-2017,22.8,15.2,0,3900,2262,359,1109,41,129,0,129
48113013007,2018-2022,22.0,14.0,0,3095,1745,293,465,239,339,179,160
48113013008,2013-2017,16.5,15.5,0,3853,2675,631,409,12,126,47,79
48113013010,2013-2017,22.75,27.75,0,4972,2978,1370,88,372,159,66,93
48113013010,2018-2022,12.0,24.0,0,4926,1655,1595,126,768,721,639,82
48113013011,2013-2017,87.2,31.2,1,5224,3082,1134,141,653,177,10,167
48113013011,2018-2022,81.8,27.0,0,4301,841,1741,190,1077,416,358,58
48113013105,2013-2017,30.0,24.5,0,6714,4173,1720,246,316,249,26,223
48113013200,2013-2017,37.0,12.0,0,6561,5487,410,420,49,195,107,88
48113013609,2013-2017,16.2,16.6,0,4032,1878,335,15,1708,96,0,96
48113013609,2018-2022,11.6,19.6,0,3578,2249,94,101,902,225,217,8
48113013615,2013-2017,20.4,29.0,0,5779,1642,1534,59,2231,313,177,136
48113013621,2013-2017,13.0,12.2,0,4172,1886,728,195,1206,144,12,132
48113013623,2013-2017,18.5,22.5,0,6881,1681,1532,319,2997,352,93,259
48113013711,2013-2017,15.5,18.5,0,3594,2033,181,98,1236,46,46,0
48113013718,2013-2017,22.6,23.2,0,5246,4101,359,160,525,58,31,27
48113013718,2018-2022,17.2,11.8,0,4316,3073,388,107,156,535,422,113
48113013719,2013-2017,58.0,9.0,0,4228,1901,618,1568,15,126,21,105
48113013720,2013-2017,27.0,15.6,0,6284,4671,408,490,573,130,5,125
48113013720,2018-2022,13.25,11.75,0,5769,3699,458,445,281,886,780,106
48113013722,2013-2017,11.0,12.0,0,4164,2518,918,432,134,130,0,130
48113014103,2013-2017,18.666666666666668,29.0,0,3356,1237,1197,361,278,73,0,73
48113014113,2013-2017,14.0,13.0,0,5075,1429,2468,692,222,218,0,218
48113014114,2013-2017,19.8,20.2,0,3440,1065,934,832,464,136,36,100
